symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2015-11-18 00:00:00+00:00,117.29,117.49,115.5,115.76,46674697,27.2099404085,27.2563381243,26.7946808525,26.854997883,186698788,0.0,1.0
AAPL,2015-11-19 00:00:00+00:00,118.78,119.75,116.76,117.64,43295820,27.555603391,27.7806323124,27.0869864618,27.2911364111,173183280,0.0,1.0
AAPL,2015-11-20 00:00:00+00:00,119.3,119.92,118.85,119.2,34287096,27.676237452,27.8200703708,27.5718425915,27.6530385941,137148384,0.0,1.0
AAPL,2015-11-23 00:00:00+00:00,117.75,119.73,117.34,119.27,32482528,27.3166551548,27.7759925408,27.2215398375,27.6692777946,129930112,0.0,1.0
AAPL,2015-11-24 00:00:00+00:00,118.88,119.35,117.12,117.33,42803172,27.5788022489,27.6878368809,27.1705023502,27.2192199517,171212688,0.0,1.0
AAPL,2015-11-25 00:00:00+00:00,118.03,119.23,117.92,119.21,21388308,27.3816119569,27.6599982514,27.3560932132,27.6553584799,85553232,0.0,1.0
AAPL,2015-11-27 00:00:00+00:00,117.81,118.41,117.6,118.29,13046445,27.3305744695,27.4697676168,27.281856868,27.4419289874,52185780,0.0,1.0
AAPL,2015-11-30 00:00:00+00:00,118.3,119.41,117.75,117.99,39180322,27.4442488731,27.7017561956,27.3166551548,27.3723324137,156721288,0.0,1.0
AAPL,2015-12-01 00:00:00+00:00,117.34,118.81,116.86,118.75,34852374,27.2215398375,27.5625630483,27.1101853197,27.5486437336,139409496,0.0,1.0
AAPL,2015-12-02 00:00:00+00:00,116.28,118.11,116.08,117.05,33386563,26.975631944,27.4001710432,26.9292342282,27.1542631496,133546252,0.0,1.0
AAPL,2015-12-03 00:00:00+00:00,115.2,116.79,114.22,116.55,41569509,26.7250842788,27.0939461191,26.4977354716,27.0382688602,166278036,0.0,1.0
AAPL,2015-12-04 00:00:00+00:00,119.03,119.25,115.11,115.29,57776977,27.6136005357,27.664638023,26.7042053067,26.7459632509,231107908,0.0,1.0
AAPL,2015-12-07 00:00:00+00:00,118.28,119.86,117.81,118.98,32084249,27.4396091016,27.8061510561,27.3305744695,27.6020011067,128336996,0.0,1.0
AAPL,2015-12-08 00:00:00+00:00,118.23,118.6,116.86,117.52,34309450,27.4280096726,27.5138454468,27.1101853197,27.2632977817,137237800,0.0,1.0
AAPL,2015-12-09 00:00:00+00:00,115.62,117.69,115.08,117.64,46361357,26.8225194819,27.3027358401,26.6972456494,27.2911364111,185445428,0.0,1.0
AAPL,2015-12-10 00:00:00+00:00,116.17,116.94,115.51,116.04,29212727,26.9501132003,27.128744406,26.7970007383,26.919954685,116850908,0.0,1.0
AAPL,2015-12-11 00:00:00+00:00,113.18,115.39,112.851,115.19,46886161,26.2564673496,26.7691621088,26.1801431072,26.722764393,187544644,0.0,1.0
AAPL,2015-12-14 00:00:00+00:00,112.48,112.68,109.79,112.18,65003609,26.0940753445,26.1404730602,25.4700260675,26.0244787708,260014436,0.0,1.0
AAPL,2015-12-15 00:00:00+00:00,110.49,112.8,110.35,111.94,53323105,25.6324180726,26.1683116897,25.5999396716,25.9688015119,213292420,0.0,1.0
AAPL,2015-12-16 00:00:00+00:00,111.34,111.99,108.8,111.07,56238467,25.8296083646,25.9804009409,25.2403573745,25.7669714484,224953868,0.0,1.0
AAPL,2015-12-17 00:00:00+00:00,108.98,112.25,108.98,112.02,44772827,25.2821153186,26.0407179713,25.2821153186,25.9873605982,179091308,0.0,1.0
AAPL,2015-12-18 00:00:00+00:00,106.03,109.52,105.81,108.91,96453327,24.5977490112,25.4073891512,24.5467115238,25.2658761181,385813308,0.0,1.0
AAPL,2015-12-21 00:00:00+00:00,107.33,107.37,105.57,107.28,47590610,24.8993341636,24.9086137068,24.4910342649,24.8877347347,190362440,0.0,1.0
AAPL,2015-12-22 00:00:00+00:00,107.23,107.72,106.451,107.4,32789367,24.8761353057,24.9898097093,24.6954162028,24.9155733641,131157468,0.0,1.0
AAPL,2015-12-23 00:00:00+00:00,108.61,108.85,107.2,107.27,32657354,25.1962795445,25.2519568034,24.8691756484,24.8854148489,130629416,0.0,1.0
AAPL,2015-12-24 00:00:00+00:00,108.03,109.0,107.95,109.0,13596680,25.0617261688,25.2867550902,25.0431670825,25.2867550902,54386720,0.0,1.0
AAPL,2015-12-28 00:00:00+00:00,106.82,107.69,106.1807,107.59,26704210,24.7810199884,24.982850052,24.63270969,24.9596511941,106816840,0.0,1.0
AAPL,2015-12-29 00:00:00+00:00,108.74,109.43,106.86,106.96,30931243,25.2264380597,25.3865101791,24.7902995316,24.8134983894,123724972,0.0,1.0
AAPL,2015-12-30 00:00:00+00:00,107.32,108.7,107.18,108.58,25213777,24.8970142778,25.2171585166,24.8645358768,25.1893198871,100855108,0.0,1.0
AAPL,2015-12-31 00:00:00+00:00,105.26,107.03,104.82,107.01,40912316,24.4191178055,24.82973759,24.3170428308,24.8250978184,163649264,0.0,1.0
AAPL,2016-01-04 00:00:00+00:00,105.35,105.368,102.0,102.61,67649387,24.4399967776,24.444172572,23.6628350386,23.8043480716,270597548,0.0,1.0
AAPL,2016-01-05 00:00:00+00:00,102.71,105.85,102.41,105.75,55790992,23.8275469295,24.555991067,23.7579503559,24.5327922091,223163968,0.0,1.0
AAPL,2016-01-06 00:00:00+00:00,100.7,102.37,99.87,100.56,68457388,23.3612498861,23.7486708127,23.1686993657,23.3287714851,273829552,0.0,1.0
AAPL,2016-01-07 00:00:00+00:00,96.45,100.13,96.43,98.68,81094428,22.3752984262,23.2290163962,22.3706586546,22.8926329569,324377712,0.0,1.0
AAPL,2016-01-08 00:00:00+00:00,96.96,99.11,96.76,98.55,70798016,22.4936126014,22.9923880458,22.4472148856,22.8624744417,283192064,0.0,1.0
AAPL,2016-01-11 00:00:00+00:00,98.53,99.06,97.34,98.97,49739377,22.8578346701,22.9807886169,22.5817682613,22.9599096448,198957508,0.0,1.0
AAPL,2016-01-12 00:00:00+00:00,99.96,100.69,98.8399,100.55,49154227,23.1895783378,23.3589300003,22.9297279307,23.3264515993,196616908,0.0,1.0
AAPL,2016-01-13 00:00:00+00:00,97.39,101.19,97.3,100.32,62439631,22.5933676902,23.4749242897,22.5724887181,23.2730942262,249758524,0.0,1.0
AAPL,2016-01-14 00:00:00+00:00,99.52,100.48,95.74,97.96,63170127,23.0875033631,23.3102123988,22.2105865352,22.7256011802,252680508,0.0,1.0
AAPL,2016-01-15 00:00:00+00:00,97.13,97.71,95.36,96.2,79833891,22.5330506598,22.6676040355,22.1224308753,22.3173012815,319335564,0.0,1.0
